date,team,rank,points
2025-09-15,PARIVISION,33,41
2025-09-15,Gentle Mates,34,39
2025-09-15,NRG,35,39
2025-09-15,Nemiga,36,37
2025-09-15,BIG,37,35
2025-09-15,Passion UA,38,32
2025-09-15,Monte,39,32
2025-09-15,MIBR,40,32
2025-09-15,FUT,41,30
2025-09-15,The Huns,42,29
2025-09-15,BC.Game,43,29
2025-09-15,Wildcard,44,27
2025-09-15,9z,45,25
2025-09-15,TNL,46,24
2025-09-15,Betera,47,24
2025-09-15,ODDIK,48,23
2025-09-15,EYEBALLERS,49,23
2025-09-15,Zero Tenacity,50,23
2025-09-15,Reason,51,22
2025-09-15,Rare Atom,52,22
2025-09-15,Marsborne,53,21
2025-09-15,Chinggis Warriors,54,21
2025-09-15,ShindeN,55,19
2025-09-15,Venom,56,18
2025-09-15,Rave,57,18
2025-09-15,Spirit Academy,58,18
2025-09-15,Galorys,59,17
2025-09-15,Sangal,60,17
2025-09-15,Partizan,61,17
2025-09-15,Alliance,62,17
2025-09-15,BESTIA,63,17
2025-09-15,VP.Prodigy,64,16
2025-09-15,Sashi,65,16
2025-09-15,aimclub,66,16
2025-09-15,Eternal Fire,67,16
2025-09-15,ESC,68,16
2025-09-15,Fluxo,69,16
2025-09-15,33,70,15
2025-09-15,ARCRED,71,15
2025-09-15,HOTU,72,15
2025-09-15,CYBERSHOKE,73,15
2025-09-15,SINNERS,74,15
2025-09-15,BOSS,75,15
2025-09-15,Sharks,76,14
2025-09-15,Keyd Stars,77,14
2025-09-15,JiJieHao,78,14
2025-09-15,FORZE Reload,79,14
2025-09-15,ex-W7M,80,13
2025-09-15,Tricked,81,13
2025-09-15,Getting Info,82,13
2025-09-15,1win,83,13
2025-09-15,Eruption,84,12
2025-09-15,Rooster,85,12
2025-09-15,AMKAL,86,12
2025-09-15,GameHunters,87,12
2025-09-15,Metizport,88,11
2025-09-15,Nexus,89,11
2025-09-15,LAG,90,11
2025-09-15,SemperFi,91,11
2025-09-15,Kaleido,92,11
2025-09-15,Johnny Speeds,93,11
2025-09-15,K27,94,11
2025-09-15,500,95,11
2025-09-15,FAVBET,96,10
2025-09-15,RUBY,97,10
2025-09-15,NomadS,98,10
2025-09-15,Alter Ego,99,10
2025-09-15,CPH Wolves,100,10
2025-09-22,Vitality,1,910
2025-09-22,The MongolZ,2,894
2025-09-22,Spirit,3,650
2025-09-22,MOUZ,4,636
2025-09-22,FURIA,5,551
2025-09-22,G2,6,447
2025-09-22,Falcons,7,405
2025-09-22,Aurora,8,395
2025-09-22,Natus Vincere,9,339
2025-09-22,paiN,10,231
2025-09-22,FaZe,11,229
2025-09-22,Liquid,12,207
2025-09-22,3DMAX,13,197
2025-09-22,Astralis,14,185
2025-09-22,TYLOO,15,135
2025-09-22,Virtus.pro,16,126
2025-09-22,GamerLegion,17,118
2025-09-22,HEROIC,18,101
2025-09-22,Legacy,19,100
2025-09-22,M80,20,93
2025-09-22,Lynn Vision,21,89
2025-09-22,B8,22,81
2025-09-22,Ninjas in Pyjamas,23,79
2025-09-22,fnatic,24,69
2025-09-22,OG,25,54
2025-09-22,Gentle Mates,26,52
2025-09-22,PARIVISION,27,50
2025-09-22,BetBoom,28,49
2025-09-22,FlyQuest,29,46
2025-09-22,SAW,30,46
2025-09-22,ECSTATIC,31,43
2025-09-22,ENCE,32,42
2025-09-22,9INE,33,41
2025-09-22,Imperial,34,40
2025-09-22,Nemiga,35,38
2025-09-22,NRG,36,37
2025-09-22,Passion UA,37,37
2025-09-22,ESC,38,36
2025-09-22,BIG,39,33
2025-09-22,Monte,40,32
2025-09-22,FUT,41,30
2025-09-22,MIBR,42,29
2025-09-22,The Huns,43,28
2025-09-22,9z,44,27
2025-09-22,Wildcard,45,27
2025-09-22,BC.Game,46,25
2025-09-22,TNL,47,24
2025-09-22,Reason,48,24
2025-09-22,Alliance,49,22
2025-09-22,Rare Atom,50,21
2025-09-22,ODDIK,51,21
2025-09-22,EYEBALLERS,52,21
2025-09-22,Betera,53,21
2025-09-22,Chinggis Warriors,54,20
2025-09-22,Partizan,55,19
2025-09-22,Zero Tenacity,56,19
2025-09-22,BESTIA,57,19
2025-09-22,Marsborne,58,19
2025-09-22,Sangal,59,18
2025-09-22,Galorys,60,17
2025-09-22,Spirit Academy,61,17
2025-09-22,Sashi,62,17
2025-09-22,HOTU,63,17
2025-09-22,ShindeN,64,17
2025-09-22,Sharks,65,17
2025-09-22,ARCRED,66,16
2025-09-22,Venom,67,16
2025-09-22,VP.Prodigy,68,16
2025-09-22,Rave,69,16
2025-09-22,Fluxo,70,15
2025-09-22,aimclub,71,15
2025-09-22,33,72,15
2025-09-22,CYBERSHOKE,73,15
2025-09-22,SINNERS,74,14
2025-09-22,GUN5,75,14
2025-09-22,Eternal Fire,76,14
2025-09-22,FORZE Reload,77,14
2025-09-22,JiJieHao,78,14
2025-09-22,K27,79,13
2025-09-22,LAG,80,13
2025-09-22,500,81,13
2025-09-22,BOSS,82,13
2025-09-22,RUBY,83,13
2025-09-22,Getting Info,84,12
2025-09-22,1win,85,12
2025-09-22,ex-W7M,86,12
2025-09-22,FAVBET,87,12
2025-09-22,Rooster,88,12
2025-09-22,Eruption,89,12
2025-09-22,Keyd Stars,90,11
2025-09-22,Tricked,91,11
2025-09-22,SemperFi,92,11
2025-09-22,AMKAL,93,11
2025-09-22,Rhyno YNG,94,11
2025-09-22,Johnny Speeds,95,11
2025-09-22,Metizport,96,11
2025-09-22,Kaleido,97,11
2025-09-22,2GAME,98,10
2025-09-22,Nexus,99,10
2025-09-22,GameHunters,100,10
2025-09-29,The MongolZ,1,896
2025-09-29,Vitality,2,880
2025-09-29,MOUZ,3,600
2025-09-29,Spirit,4,577
2025-09-29,FURIA,5,500
2025-09-29,G2,6,432
2025-09-29,Falcons,7,401
2025-09-29,Aurora,8,389
2025-09-29,Natus Vincere,9,283
2025-09-29,paiN,10,225
2025-09-29,3DMAX,11,194
2025-09-29,Astralis,12,178
2025-09-29,Liquid,13,175
2025-09-29,FaZe,14,147
2025-09-29,TYLOO,15,130
2025-09-29,Virtus.pro,16,121
2025-09-29,GamerLegion,17,116
2025-09-29,HEROIC,18,104
2025-09-29,Legacy,19,94
2025-09-29,Lynn Vision,20,86
2025-09-29,B8,21,82
2025-09-29,M80,22,80
2025-09-29,Ninjas in Pyjamas,23,76
2025-09-29,fnatic,24,67
2025-09-29,OG,25,65
2025-09-29,ENCE,26,62
2025-09-29,PARIVISION,27,61
2025-09-29,Gentle Mates,28,55
2025-09-29,9INE,29,54
2025-09-29,BetBoom,30,54
2025-09-29,Passion UA,31,47
2025-09-29,SAW,32,42
2025-09-29,Inner Circle,33,40
2025-09-29,HOTU,34,39
2025-09-29,NRG,35,38
2025-09-29,ECSTATIC,36,37
2025-09-29,Imperial,37,37
2025-09-29,ex-Inner Circle,38,36
2025-09-29,BIG,39,34
2025-09-29,Nemiga,40,34
2025-09-29,ESC,41,34
2025-09-29,FlyQuest,42,33
2025-09-29,Monte,43,33
2025-09-29,FUT,44,33
2025-09-29,MIBR,45,29
2025-09-29,Zero Tenacity,46,26
2025-09-29,BC.Game,47,26
2025-09-29,Wildcard,48,24
2025-09-29,500,49,24
2025-09-29,Betera,50,23
2025-09-29,Alliance,51,23
2025-09-29,GenOne,52,23
2025-09-29,9z,53,22
2025-09-29,Partizan,54,22
2025-09-29,The Huns,55,21
2025-09-29,Reason,56,20
2025-09-29,33,57,20
2025-09-29,ODDIK,58,20
2025-09-29,Rare Atom,59,19
2025-09-29,BESTIA,60,19
2025-09-29,BASEMENT BOYS,61,19
2025-09-29,EYEBALLERS,62,19
2025-09-29,Fluxo,63,18
2025-09-29,Johnny Speeds,64,17
2025-09-29,SINNERS,65,17
2025-09-29,Sharks,66,16
2025-09-29,Sangal,67,16
2025-09-29,Galorys,68,16
2025-09-29,Venom,69,16
2025-09-29,Chinggis Warriors,70,16
2025-09-29,Sashi,71,16
2025-09-29,Marsborne,72,15
2025-09-29,Spirit Academy,73,15
2025-09-29,Betclic,74,14
2025-09-29,Keyd Stars,75,14
2025-09-29,Rave,76,14
2025-09-29,Rooster,77,14
2025-09-29,aimclub,78,14
2025-09-29,1win,79,14
2025-09-29,RUBY,80,13
2025-09-29,ARCRED,81,13
2025-09-29,GUN5,82,13
2025-09-29,Gaimin Gladiators,83,13
2025-09-29,FAVBET,84,13
2025-09-29,FORZE Reload,85,12
2025-09-29,Dusty Roots,86,12
2025-09-29,ShindeN,87,12
2025-09-29,SemperFi,88,12
2025-09-29,JiJieHao,89,12
2025-09-29,K27,90,12
2025-09-29,LAG,91,12
2025-09-29,Phantom,92,11
2025-09-29,Nuclear TigeRES,93,11
2025-09-29,Nexus,94,11
2025-09-29,Eternal Fire,95,11
2025-09-29,CYBERSHOKE,96,11
2025-09-29,CPH Wolves,97,11
2025-09-29,ECLOT,98,11
2025-09-29,kONO,99,11
2025-09-29,BOSS,100,10
2025-10-06,The MongolZ,1,872
2025-10-06,Vitality,2,837
2025-10-06,Spirit,3,648
2025-10-06,MOUZ,4,627
2025-10-06,FURIA,5,574
2025-10-06,G2,6,500
2025-10-06,Falcons,7,485
2025-10-06,Aurora,8,433
2025-10-06,Natus Vincere,9,295
2025-10-06,3DMAX,10,257
2025-10-06,Astralis,11,201
2025-10-06,Liquid,12,183
2025-10-06,paiN,13,179
2025-10-06,FaZe,14,168
2025-10-06,GamerLegion,15,150
2025-10-06,TYLOO,16,145
2025-10-06,Gentle Mates,17,126
2025-10-06,Virtus.pro,18,111
2025-10-06,B8,19,99
2025-10-06,HEROIC,20,98
2025-10-06,M80,21,96
2025-10-06,Inner Circle,22,92
2025-10-06,Legacy,23,91
2025-10-06,Ninjas in Pyjamas,24,90
2025-10-06,HOTU,25,88
2025-10-06,fnatic,26,86
2025-10-06,Lynn Vision,27,79
2025-10-06,9INE,28,71
2025-10-06,ENCE,29,70
2025-10-06,OG,30,67
2025-10-06,PARIVISION,31,64
2025-10-06,Passion UA,32,63
2025-10-06,BetBoom,33,56
2025-10-06,ECSTATIC,34,47
2025-10-06,MIBR,35,47
2025-10-06,SAW,36,45
2025-10-06,BIG,37,45
2025-10-06,Imperial,38,42
2025-10-06,ESC,39,41
2025-10-06,ex-Inner Circle,40,39
2025-10-06,NRG,41,39
2025-10-06,Monte,42,37
2025-10-06,FlyQuest,43,36
2025-10-06,Fluxo,44,35
2025-10-06,Zero Tenacity,45,32
2025-10-06,FUT,46,29
2025-10-06,Wildcard,47,29
2025-10-06,Betera,48,28
2025-10-06,EYEBALLERS,49,28
2025-10-06,ODDIK,50,27
2025-10-06,BASEMENT BOYS,51,26
2025-10-06,The Huns,52,25
2025-10-06,500,53,25
2025-10-06,GenOne,54,25
2025-10-06,Alliance,55,24
2025-10-06,9z,56,24
2025-10-06,Nemiga,57,23
2025-10-06,Sharks,58,23
2025-10-06,33,59,23
2025-10-06,BC.Game,60,22
2025-10-06,Johnny Speeds,61,21
2025-10-06,Partizan,62,21
2025-10-06,Rare Atom,63,20
2025-10-06,Oramond,64,20
2025-10-06,SINNERS,65,19
2025-10-06,RED Canids,66,19
2025-10-06,BESTIA,67,18
2025-10-06,Galorys,68,18
2025-10-06,Gaimin Gladiators,69,18
2025-10-06,ShindeN,70,18
2025-10-06,Sangal,71,17
2025-10-06,CYBERSHOKE,72,17
2025-10-06,Keyd Stars,73,17
2025-10-06,Venom,74,17
2025-10-06,FAVBET,75,17
2025-10-06,Rooster,76,17
2025-10-06,RUBY,77,17
2025-10-06,Betclic,78,16
2025-10-06,GUN5,79,16
2025-10-06,1win,80,16
2025-10-06,SemperFi,81,16
2025-10-06,Marsborne,82,16
2025-10-06,Spirit Academy,83,15
2025-10-06,JiJieHao,84,15
2025-10-06,aimclub,85,15
2025-10-06,Rave,86,14
2025-10-06,Kaleido,87,14
2025-10-06,Nexus,88,14
2025-10-06,Sashi,89,14
2025-10-06,Eternal Fire,90,14
2025-10-06,Chinggis Warriors,91,14
2025-10-06,Dusty Roots,92,14
2025-10-06,Nuclear TigeRES,93,14
2025-10-06,FORZE Reload,94,13
2025-10-06,MOUZ NXT,95,13
2025-10-06,Phantom,96,12
2025-10-06,LAG,97,12
2025-10-06,kONO,98,12
2025-10-06,ARCRED,99,12
2025-10-06,ECLOT,100,12
2025-10-13,Vitality,1,950
2025-10-13,The MongolZ,2,708
2025-10-13,MOUZ,3,625
2025-10-13,Falcons,4,608
2025-10-13,Spirit,5,557
2025-10-13,FURIA,6,535
2025-10-13,G2,7,403
2025-10-13,Aurora,8,356
2025-10-13,Natus Vincere,9,328
2025-10-13,3DMAX,10,273
2025-10-13,FaZe,11,246
2025-10-13,Astralis,12,168
2025-10-13,Liquid,13,152
2025-10-13,paiN,14,146
2025-10-13,TYLOO,15,122
2025-10-13,GamerLegion,16,120
2025-10-13,Gentle Mates,17,99
2025-10-13,Virtus.pro,18,92
2025-10-13,Inner Circle,19,92
2025-10-13,HOTU,20,83
2025-10-13,HEROIC,21,81
2025-10-13,B8,22,81
2025-10-13,Ninjas in Pyjamas,23,78
2025-10-13,M80,24,75
2025-10-13,Legacy,25,74
2025-10-13,Lynn Vision,26,63
2025-10-13,fnatic,27,60
2025-10-13,PARIVISION,28,51
2025-10-13,Passion UA,29,51
2025-10-13,9INE,30,50
2025-10-13,ENCE,31,49
2025-10-13,BetBoom,32,47
2025-10-13,OG,33,46
2025-10-13,SAW,34,42
2025-10-13,ECSTATIC,35,38
2025-10-13,MIBR,36,37
2025-10-13,ESC,37,36
2025-10-13,NRG,38,33
2025-10-13,ex-Inner Circle,39,32
2025-10-13,Monte,40,30
2025-10-13,FlyQuest,41,29
2025-10-13,Fluxo,42,28
2025-10-13,Imperial,43,28
2025-10-13,EYEBALLERS,44,23
2025-10-13,Wildcard,45,23
2025-10-13,BIG,46,23
2025-10-13,ODDIK,47,22
2025-10-13,BASEMENT BOYS,48,22
2025-10-13,FUT,49,21
2025-10-13,GenOne,50,21
2025-10-13,Zero Tenacity,51,21
2025-10-13,500,52,21
2025-10-13,Nemiga,53,20
2025-10-13,The Huns,54,19
2025-10-13,33,55,19
2025-10-13,SINNERS,56,18
2025-10-13,RUBY,57,18
2025-10-13,Alliance,58,18
2025-10-13,9z,59,17
2025-10-13,Betera,60,17
2025-10-13,Partizan,61,17
2025-10-13,RED Canids,62,17
2025-10-13,BESTIA,63,17
2025-10-13,Sharks,64,16
2025-10-13,Johnny Speeds,65,16
2025-10-13,FAVBET,66,16
2025-10-13,Oramond,67,16
2025-10-13,Rare Atom,68,15
2025-10-13,1win,69,15
2025-10-13,BC.Game,70,15
2025-10-13,GUN5,71,15
2025-10-13,Rooster,72,14
2025-10-13,Sangal,73,14
2025-10-13,Keyd Stars,74,14
2025-10-13,Venom,75,13
2025-10-13,Gaimin Gladiators,76,13
2025-10-13,ECLOT,77,13
2025-10-13,CYBERSHOKE,78,13
2025-10-13,Marsborne,79,13
2025-10-13,MOUZ NXT,80,12
2025-10-13,SemperFi,81,12
2025-10-13,aimclub,82,12
2025-10-13,Chinggis Warriors,83,12
2025-10-13,ShindeN,84,12
2025-10-13,Rave,85,12
2025-10-13,Betclic,86,11
2025-10-13,Getting Info,87,11
2025-10-13,Nuclear TigeRES,88,11
2025-10-13,kONO,89,11
2025-10-13,Kaleido,90,11
2025-10-13,Spirit Academy,91,11
2025-10-13,Galorys,92,11
2025-10-13,JiJieHao,93,10
2025-10-13,ARCRED,94,10
2025-10-13,Sashi,95,10
2025-10-13,FORZE Reload,96,10
2025-10-13,Phantom,97,10
2025-10-13,Dusty Roots,98,10
2025-10-13,CPH Wolves,99,9
2025-10-13,Fake do Biru,100,9
2025-10-20,Vitality,1,945
2025-10-20,The MongolZ,2,683
2025-10-20,FURIA,3,657
2025-10-20,MOUZ,4,622
2025-10-20,Spirit,5,561
2025-10-20,Falcons,6,555
2025-10-20,G2,7,407
2025-10-20,Natus Vincere,8,405
2025-10-20,Aurora,9,344
2025-10-20,3DMAX,10,303
2025-10-20,FaZe,11,253
2025-10-20,Liquid,12,188
2025-10-20,Astralis,13,161
2025-10-20,paiN,14,141
2025-10-20,Legacy,15,138
2025-10-20,GamerLegion,16,114
2025-10-20,Gentle Mates,17,99
2025-10-20,TYLOO,18,95
2025-10-20,HEROIC,19,95
2025-10-20,Inner Circle,20,88
2025-10-20,HOTU,21,85
2025-10-20,fnatic,22,82
2025-10-20,Virtus.pro,23,78
2025-10-20,Ninjas in Pyjamas,24,78
2025-10-20,M80,25,78
2025-10-20,B8,26,76
2025-10-20,Lynn Vision,27,59
2025-10-20,FUT,28,55
2025-10-20,PARIVISION,29,51
2025-10-20,ENCE,30,51
2025-10-20,9INE,31,50
2025-10-20,OG,32,46
2025-10-20,Passion UA,33,46
2025-10-20,MIBR,34,43
2025-10-20,BetBoom,35,40
2025-10-20,9z,36,39
2025-10-20,ECSTATIC,37,36
2025-10-20,ESC,38,36
2025-10-20,NRG,39,33
2025-10-20,Imperial,40,32
2025-10-20,ex-Inner Circle,41,32
2025-10-20,SAW,42,29
2025-10-20,FlyQuest,43,29
2025-10-20,Venom,44,29
2025-10-20,Monte,45,29
2025-10-20,Fluxo,46,26
2025-10-20,Nemiga,47,26
2025-10-20,BIG,48,22
2025-10-20,Wildcard,49,22
2025-10-20,BASEMENT BOYS,50,21
2025-10-20,The Huns,51,21
2025-10-20,EYEBALLERS,52,21
2025-10-20,SINNERS,53,20
2025-10-20,500,54,20
2025-10-20,RUBY,55,19
2025-10-20,33,56,19
2025-10-20,Sharks,57,19
2025-10-20,GenOne,58,19
2025-10-20,ODDIK,59,18
2025-10-20,Alliance,60,18
2025-10-20,Partizan,61,18
2025-10-20,Zero Tenacity,62,18
2025-10-20,1win,63,17
2025-10-20,BESTIA,64,17
2025-10-20,Sangal,65,17
2025-10-20,FAVBET,66,17
2025-10-20,RED Canids,67,16
2025-10-20,Gaimin Gladiators,68,16
2025-10-20,Betera,69,15
2025-10-20,GUN5,70,15
2025-10-20,Oramond,71,15
2025-10-20,ECLOT,72,14
2025-10-20,Johnny Speeds,73,14
2025-10-20,kONO,74,14
2025-10-20,Rare Atom,75,14
2025-10-20,Marsborne,76,13
2025-10-20,Keyd Stars,77,13
2025-10-20,SemperFi,78,13
2025-10-20,CYBERSHOKE,79,13
2025-10-20,MOUZ NXT,80,12
2025-10-20,Voca,81,12
2025-10-20,aimclub,82,12
2025-10-20,Rooster,83,12
2025-10-20,Chinggis Warriors,84,11
2025-10-20,BC.Game,85,11
2025-10-20,Spirit Academy,86,11
2025-10-20,Nuclear TigeRES,87,11
2025-10-20,ShindeN,88,11
2025-10-20,Rave,89,11
2025-10-20,Kaleido,90,10
2025-10-20,ARCRED,91,10
2025-10-20,Sashi,92,10
2025-10-20,FORZE Reload,93,10
2025-10-20,CPH Wolves,94,10
2025-10-20,JiJieHao,95,10
2025-10-20,K27,96,10
2025-10-20,Fake do Biru,97,10
2025-10-20,Phantom,98,10
2025-10-20,Galorys,99,10
2025-10-20,Betclic,100,9
2025-10-27,Vitality,1,945
2025-10-27,FURIA,2,664
2025-10-27,MOUZ,3,620
2025-10-27,The MongolZ,4,586
2025-10-27,Falcons,5,569
2025-10-27,Spirit,6,565
2025-10-27,Natus Vincere,7,425
2025-10-27,G2,8,412
2025-10-27,Aurora,9,364
2025-10-27,3DMAX,10,299
2025-10-27,FaZe,11,254
2025-10-27,Liquid,12,202
2025-10-27,Astralis,13,167
2025-10-27,paiN,14,165
2025-10-27,Legacy,15,157
2025-10-27,GamerLegion,16,117
2025-10-27,HEROIC,17,110
2025-10-27,Gentle Mates,18,104
2025-10-27,HOTU,19,95
2025-10-27,TYLOO,20,94
2025-10-27,Virtus.pro,21,90
2025-10-27,B8,22,89
2025-10-27,Ninjas in Pyjamas,23,77
2025-10-27,Inner Circle,24,76
2025-10-27,fnatic,25,72
2025-10-27,M80,26,67
2025-10-27,FUT,27,55
2025-10-27,Passion UA,28,52
2025-10-27,PARIVISION,29,51
2025-10-27,Lynn Vision,30,50
2025-10-27,9INE,31,49
2025-10-27,OG,32,47
2025-10-27,MIBR,33,46
2025-10-27,BetBoom,34,45
2025-10-27,ENCE,35,44
2025-10-27,9z,36,43
2025-10-27,SAW,37,42
2025-10-27,ESC,38,40
2025-10-27,ECSTATIC,39,37
2025-10-27,ex-Inner Circle,40,36
2025-10-27,FlyQuest,41,36
2025-10-27,NRG,42,34
2025-10-27,Imperial,43,33
2025-10-27,Venom,44,32
2025-10-27,Nemiga,45,28
2025-10-27,Fluxo,46,28
2025-10-27,BIG,47,25
2025-10-27,SINNERS,48,25
2025-10-27,Wildcard,49,24
2025-10-27,BASEMENT BOYS,50,24
2025-10-27,500,51,23
2025-10-27,Sharks,52,23
2025-10-27,Monte,53,23
2025-10-27,RUBY,54,21
2025-10-27,33,55,20
2025-10-27,Sangal,56,20
2025-10-27,The Huns,57,20
2025-10-27,Zero Tenacity,58,20
2025-10-27,EYEBALLERS,59,20
2025-10-27,Partizan,60,19
2025-10-27,RED Canids,61,19
2025-10-27,1win,62,19
2025-10-27,Alliance,63,18
2025-10-27,GenOne,64,18
2025-10-27,FAVBET,65,18
2025-10-27,GUN5,66,18
2025-10-27,kONO,67,17
2025-10-27,Gaimin Gladiators,68,17
2025-10-27,Betera,69,17
2025-10-27,ODDIK,70,17
2025-10-27,ECLOT,71,17
2025-10-27,Marsborne,72,16
2025-10-27,Johnny Speeds,73,16
2025-10-27,BESTIA,74,15
2025-10-27,SemperFi,75,15
2025-10-27,CYBERSHOKE,76,15
2025-10-27,Keyd Stars,77,14
2025-10-27,Oramond,78,13
2025-10-27,ShindeN,79,13
2025-10-27,Fake do Biru,80,13
2025-10-27,Voca,81,12
2025-10-27,BC.Game,82,12
2025-10-27,Nuclear TigeRES,83,12
2025-10-27,Rave,84,12
2025-10-27,Sashi,85,12
2025-10-27,Bounty Hunters,86,12
2025-10-27,Rare Atom,87,11
2025-10-27,Galorys,88,11
2025-10-27,MOUZ NXT,89,11
2025-10-27,ARCRED,90,11
2025-10-27,Spirit Academy,91,11
2025-10-27,Betclic,92,10
2025-10-27,Chinggis Warriors,93,10
2025-10-27,JiJieHao,94,10
2025-10-27,CPH Wolves,95,10
2025-10-27,FORZE Reload,96,10
2025-10-27,K27,97,10
2025-10-27,Kaleido,98,10
2025-10-27,Yawara,99,10
2025-10-27,SPARTA,100,10
2025-11-03,Vitality,1,950
2025-11-03,FURIA,2,665
2025-11-03,Falcons,3,626
2025-11-03,The MongolZ,4,603
2025-11-03,MOUZ,5,592
2025-11-03,Spirit,6,520
2025-11-03,Aurora,7,446
2025-11-03,Natus Vincere,8,372
2025-11-03,G2,9,369
2025-11-03,3DMAX,10,282
2025-11-03,FaZe,11,250
2025-11-03,Liquid,12,228
2025-11-03,Legacy,13,221
2025-11-03,Astralis,14,194
2025-11-03,paiN,15,183
2025-11-03,GamerLegion,16,148
2025-11-03,HEROIC,17,134
2025-11-03,Gentle Mates,18,120
2025-11-03,B8,19,118
2025-11-03,SAW,20,114
2025-11-03,TYLOO,21,95
2025-11-03,Virtus.pro,22,91
2025-11-03,fnatic,23,82
2025-11-03,M80,24,79
2025-11-03,HOTU,25,76
2025-11-03,Inner Circle,26,75
2025-11-03,Ninjas in Pyjamas,27,64
2025-11-03,FUT,28,56
2025-11-03,BetBoom,29,52
2025-11-03,Passion UA,30,52
2025-11-03,Lynn Vision,31,49
2025-11-03,9INE,32,49
2025-11-03,PARIVISION,33,49
2025-11-03,FlyQuest,34,48
2025-11-03,MIBR,35,46
2025-11-03,9z,36,42
2025-11-03,ENCE,37,41
2025-11-03,ESC,38,38
2025-11-03,ECSTATIC,39,38
2025-11-03,Venom,40,36
2025-11-03,ex-Inner Circle,41,36
2025-11-03,Imperial,42,34
2025-11-03,Nemiga,43,34
2025-11-03,OG,44,34
2025-11-03,BIG,45,27
2025-11-03,Fluxo,46,26
2025-11-03,NRG,47,25
2025-11-03,SINNERS,48,25
2025-11-03,500,49,23
2025-11-03,Monte,50,22
2025-11-03,Sharks,51,22
2025-11-03,BASEMENT BOYS,52,21
2025-11-03,RUBY,53,21
2025-11-03,Sangal,54,20
2025-11-03,Alliance,55,20
2025-11-03,33,56,20
2025-11-03,1win,57,19
