date,team,rank,points
2025-12-22,Lazer Cats,87,10
2025-12-22,Phantom,88,10
2025-12-22,FORZE Reload,89,10
2025-12-22,HEROIC Academy,90,10
2025-12-22,RUBY,91,10
2025-12-22,Voca,92,10
2025-12-22,Leo,93,10
2025-12-22,FAVBET,94,9
2025-12-22,Deep Cross,95,9
2025-12-22,ASTRAL,96,9
2025-12-22,Kaleido,97,9
2025-12-22,Keyd Stars,98,8
2025-12-22,Reign Above,99,8
2025-12-22,G2 Ares,100,8
2025-12-29,Vitality,1,954
2025-12-29,FURIA,2,811
2025-12-29,Falcons,3,588
2025-12-29,MOUZ,4,477
2025-12-29,FaZe,5,382
2025-12-29,The MongolZ,6,353
2025-12-29,Natus Vincere,7,347
2025-12-29,Spirit,8,327
2025-12-29,G2,9,202
2025-12-29,Aurora,10,175
2025-12-29,B8,11,154
2025-12-29,3DMAX,12,153
2025-12-29,paiN,13,135
2025-12-29,Astralis,14,130
2025-12-29,Liquid,15,130
2025-12-29,Passion UA,16,126
2025-12-29,Legacy,17,116
2025-12-29,PARIVISION,18,85
2025-12-29,HEROIC,19,85
2025-12-29,SAW,20,84
2025-12-29,Imperial,21,77
2025-12-29,Virtus.pro,22,69
2025-12-29,GamerLegion,23,69
2025-12-29,Ninjas in Pyjamas,24,66
2025-12-29,M80,25,62
2025-12-29,Gentle Mates,26,60
2025-12-29,FUT,27,58
2025-12-29,Lynn Vision,28,57
2025-12-29,fnatic,29,55
2025-12-29,FlyQuest,30,54
2025-12-29,TYLOO,31,53
2025-12-29,BetBoom,32,46
2025-12-29,EYEBALLERS,33,41
2025-12-29,NRG,34,34
2025-12-29,Fluxo,35,34
2025-12-29,HOTU,36,31
2025-12-29,ECSTATIC,37,29
2025-12-29,CYBERSHOKE,38,28
2025-12-29,Inner Circle,39,28
2025-12-29,Monte,40,28
2025-12-29,ENCE,41,26
2025-12-29,Oramond,42,25
2025-12-29,Sharks,43,24
2025-12-29,K27,44,23
2025-12-29,Alliance,45,22
2025-12-29,BESTIA,46,21
2025-12-29,OG,47,20
2025-12-29,The Huns,48,20
2025-12-29,Nuclear TigeRES,49,20
2025-12-29,BIG,50,20
2025-12-29,Acend,51,19
2025-12-29,Friendly Campers,52,19
2025-12-29,Marsborne,53,18
2025-12-29,Venom,54,18
2025-12-29,Rare Atom,55,18
2025-12-29,Sashi,56,18
2025-12-29,9INE,57,17
2025-12-29,Nemiga,58,17
2025-12-29,9z,59,16
2025-12-29,AM,60,16
2025-12-29,GenOne,61,15
2025-12-29,MIBR,62,15
2025-12-29,illwill,63,15
2025-12-29,RED Canids,64,15
2025-12-29,magic,65,14
2025-12-29,SPARTA,66,14
2025-12-29,Sangal,67,14
2025-12-29,SINNERS,68,14
2025-12-29,Johnny Speeds,69,13
2025-12-29,500,70,13
2025-12-29,Chinggis Warriors,71,13
2025-12-29,33,72,13
2025-12-29,Tricked,73,12
2025-12-29,Fire Flux,74,12
2025-12-29,Change The Game,75,12
2025-12-29,Nexus,76,12
2025-12-29,MOUZ NXT,77,12
2025-12-29,Metizport,78,11
2025-12-29,Bounty Hunters,79,11
2025-12-29,1win,80,11
2025-12-29,Galorys,81,11
2025-12-29,Fingers Crossed,82,11
2025-12-29,JiJieHao,83,11
2025-12-29,Morningstar,84,11
2025-12-29,Gaimin Gladiators,85,10
2025-12-29,FORZE Reload,86,10
2025-12-29,Lazer Cats,87,10
2025-12-29,NOVAQ,88,10
2025-12-29,Phantom,89,10
2025-12-29,HEROIC Academy,90,10
2025-12-29,RUBY,91,10
2025-12-29,Voca,92,10
2025-12-29,Leo,93,10
2025-12-29,FAVBET,94,9
2025-12-29,Deep Cross,95,9
2025-12-29,ASTRAL,96,9
2025-12-29,Reign Above,97,8
2025-12-29,G2 Ares,98,8
2025-12-29,CPH Wolves,99,8
2025-12-29,WW,100,8
2026-01-05,Vitality,1,954
2026-01-05,FURIA,2,814
2026-01-05,Falcons,3,589
2026-01-05,MOUZ,4,476
2026-01-05,FaZe,5,384
2026-01-05,The MongolZ,6,353
2026-01-05,Natus Vincire,7,348
2026-01-05,Natus Vincere,7,348
2026-01-05,Spirit,8,326
2026-01-05,G2,9,202
2026-01-05,Aurora,10,174
2026-01-05,B8,11,155
2026-01-05,3DMAX,12,153
2026-01-05,paiN,13,135
2026-01-05,Astralis,14,130
2026-01-05,Liquid,15,130
2026-01-05,Passion UA,16,127
2026-01-05,Legacy,17,116
2026-01-05,HEROIC,18,85
2026-01-05,Imperial,19,77
2026-01-05,PARIVISION,20,75
2026-01-05,GamerLegion,21,73
2026-01-05,Virtus.pro,22,69
2026-01-05,Ninjas in Pyjamas,23,66
2026-01-05,M80,24,62
2026-01-05,Gentle Mates,25,60
2026-01-05,BC.Game,26,58
2026-01-05,FUT,27,58
2026-01-05,Lynn Vision,28,57
2026-01-05,fnatic,29,55
2026-01-05,NRG,30,51
2026-01-05,BetBoom,31,50
2026-01-05,FlyQuest,32,48
2026-01-05,TYLOO,33,46
2026-01-05,EYEBALLERS,34,41
2026-01-05,HOTU,35,34
2026-01-05,Fluxo,36,34
2026-01-05,CYBERSHOKE,37,28
2026-01-05,Inner Circle,38,28
2026-01-05,Monte,39,28
2026-01-05,ENCE,40,26
2026-01-05,Oramond,41,25
2026-01-05,9INE,42,25
2026-01-05,Sharks,43,24
2026-01-05,K27,44,23
2026-01-05,Alliance,45,22
2026-01-05,BESTIA,46,21
2026-01-05,ECSTATIC,47,21
2026-01-05,Marsborne,48,20
2026-01-05,Rare Atom,49,20
2026-01-05,OG,50,20
2026-01-05,Nuclear TigeRES,51,20
2026-01-05,Acend,52,19
2026-01-05,The Huns,53,18
2026-01-05,Friendly Campers,54,18
2026-01-05,Sashi,55,18
2026-01-05,Venom,56,18
2026-01-05,BIG,57,17
2026-01-05,Nemiga,58,17
2026-01-05,9z,59,16
2026-01-05,MOUZ NXT,60,16
2026-01-05,AM,61,16
2026-01-05,GenOne,62,15
2026-01-05,Voca,63,15
2026-01-05,illwill,64,15
2026-01-05,RED Canids,65,15
2026-01-05,Wildcard,66,15
2026-01-05,magic,67,14
2026-01-05,SPARTA,68,14
2026-01-05,SINNERS,69,14
2026-01-05,Johnny Speeds,70,13
2026-01-05,ex-500,71,13
2026-01-05,Chinggis Warriors,72,13
2026-01-05,33,73,13
2026-01-05,Tricked,74,12
2026-01-05,Fire Flux,75,12
2026-01-05,Change The Game,76,12
2026-01-05,Nexus,77,12
2026-01-05,ASTRAL,78,11
2026-01-05,Bounty Hunters,79,11
2026-01-05,1win,80,11
2026-01-05,NOVAQ,81,11
2026-01-05,Galorys,82,11
2026-01-05,Sangal,83,11
2026-01-05,JiJieHao,84,11
2026-01-05,DEPO,85,11
2026-01-05,F5,86,10
2026-01-05,Gaimin Gladiators,87,10
2026-01-05,Metizport,88,10
2026-01-05,MIBR,89,10
2026-01-05,Morningstar,90,10
2026-01-05,FORZE Reload,91,10
2026-01-05,Lazer Cats,92,10
2026-01-05,Phantom,93,10
2026-01-05,Reign Above,94,10
2026-01-05,HEROIC Academy,95,10
2026-01-05,Leo,96,10
2026-01-05,FAVBET,97,9
2026-01-05,Deep Cross,98,9
2026-01-05,AaB,99,9
2026-01-05,G2 Ares,100,8
2026-01-12,Vitality,1,954
2026-01-12,FURIA,2,817
2026-01-12,Falcons,3,590
2026-01-12,MOUZ,4,475
2026-01-12,FaZe,5,386
2026-01-12,The MongolZ,6,352
2026-01-12,Natus Vincere,7,348
2026-01-12,Natus Vincire,7,348
2026-01-12,Spirit,8,326
2026-01-12,G2,9,202
2026-01-12,Aurora,10,173
2026-01-12,B8,11,155
2026-01-12,3DMAX,12,153
2026-01-12,paiN,13,136
2026-01-12,Astralis,14,130
2026-01-12,Liquid,15,130
2026-01-12,Passion UA,16,127
2026-01-12,Legacy,17,116
2026-01-12,Imperial,18,77
2026-01-12,PARIVISION,19,75
2026-01-12,M80,20,73
2026-01-12,GamerLegion,21,73
2026-01-12,Virtus.pro,22,69
2026-01-12,Ninjas in Pyjamas,23,66
2026-01-12,HEROIC,24,65
2026-01-12,Gentle Mates,25,60
2026-01-12,BC.Game,26,58
2026-01-12,FUT,27,58
2026-01-12,Lynn Vision,28,57
2026-01-12,NRG,29,56
2026-01-12,BetBoom,30,50
2026-01-12,FlyQuest,31,48
2026-01-12,fnatic,32,48
2026-01-12,TYLOO,33,46
2026-01-12,EYEBALLERS,34,41
2026-01-12,HOTU,35,35
2026-01-12,Fluxo,36,30
2026-01-12,CYBERSHOKE,37,28
2026-01-12,Oramond,38,25
2026-01-12,9INE,39,25
2026-01-12,Inner Circle,40,24
2026-01-12,Monte,41,24
2026-01-12,Sharks,42,24
2026-01-12,Marsborne,43,24
2026-01-12,K27,44,23
2026-01-12,BESTIA,45,21
2026-01-12,ENCE,46,21
2026-01-12,ECSTATIC,47,21
2026-01-12,Rare Atom,48,20
2026-01-12,Voca,49,20
2026-01-12,OG,50,20
2026-01-12,Nuclear TigeRES,51,20
2026-01-12,Alliance,52,19
2026-01-12,The Huns,53,18
2026-01-12,Friendly Campers,54,18
2026-01-12,Sashi,55,18
2026-01-12,Venom,56,18
2026-01-12,Acend,57,18
2026-01-12,MOUZ NXT,58,16
2026-01-12,GenOne,59,16
2026-01-12,AM,60,16
2026-01-12,RED Canids,61,15
2026-01-12,illwill,62,15
2026-01-12,Wildcard,63,15
2026-01-12,magic,64,14
2026-01-12,SPARTA,65,14
2026-01-12,SINNERS,66,14
2026-01-12,Johnny Speeds,67,13
2026-01-12,ex-500,68,13
2026-01-12,Chinggis Warriors,69,13
2026-01-12,BET-M,70,13
2026-01-12,Tricked,71,12
2026-01-12,Nexus,72,12
2026-01-12,ASTRAL,73,11
2026-01-12,Change The Game,74,11
2026-01-12,1win,75,11
2026-01-12,NOVAQ,76,11
2026-01-12,Galorys,77,11
2026-01-12,JiJieHao,78,11
2026-01-12,DEPO,79,11
2026-01-12,Rave,80,11
2026-01-12,F5,81,10
2026-01-12,Gaimin Gladiators,82,10
2026-01-12,Nemiga,83,10
2026-01-12,Metizport,84,10
2026-01-12,Sangal,85,10
2026-01-12,MIBR,86,10
2026-01-12,Morningstar,87,10
2026-01-12,Lazer Cats,88,10
2026-01-12,Reign Above,89,10
2026-01-12,Bounty Hunters,90,10
2026-01-12,HEROIC Academy,91,10
2026-01-12,Leo,92,10
2026-01-12,FAVBET,93,9
2026-01-12,FORZE Reload,94,9
2026-01-12,BIG,95,9
2026-01-12,Phantom,96,9
2026-01-12,AaB,97,9
2026-01-12,Deep Cross,98,9
2026-01-12,G2 Ares,99,8
2026-01-12,BOSS,100,8
2026-01-19,Vitality,1,960
2026-01-19,FURIA,2,807
2026-01-19,Falcons,3,608
2026-01-19,MOUZ,4,474
2026-01-19,FaZe,5,374
2026-01-19,Spirit,6,347
2026-01-19,Natus Vincire,7,332
2026-01-19,Natus Vincere,7,332
2026-01-19,The MongolZ,8,328
2026-01-19,G2,9,190
2026-01-19,Aurora,10,153
2026-01-19,Liquid,11,147
2026-01-19,3DMAX,12,143
2026-01-19,Astralis,13,127
2026-01-19,paiN,14,125
2026-01-19,Passion UA,15,123
2026-01-19,B8,16,122
2026-01-19,PARIVISION,17,112
2026-01-19,Legacy,18,107
2026-01-19,GamerLegion,19,104
2026-01-19,HEROIC,20,88
2026-01-19,Imperial,21,76
2026-01-19,Gentle Mates,22,71
2026-01-19,FUT,23,71
2026-01-19,M80,24,71
2026-01-19,Ninjas in Pyjamas,25,64
2026-01-19,Lynn Vision,26,57
2026-01-19,NRG,27,54
2026-01-19,BC.Game,28,53
2026-01-19,Virtus.pro,29,52
2026-01-19,EYEBALLERS,30,52
2026-01-19,fnatic,31,51
2026-01-19,FlyQuest,32,44
2026-01-19,TYLOO,33,43
2026-01-19,BetBoom,34,41
2026-01-19,Sharks,35,39
2026-01-19,HOTU,36,38
2026-01-19,Inner Circle,37,35
2026-01-19,Monte,38,33
2026-01-19,Fluxo,39,30
2026-01-19,Oramond,40,27
2026-01-19,CYBERSHOKE,41,27
2026-01-19,MIBR,42,26
2026-01-19,9INE,43,25
2026-01-19,BESTIA,44,24
2026-01-19,ECSTATIC,45,23
2026-01-19,Marsborne,46,22
2026-01-19,K27,47,22
2026-01-19,ENCE,48,21
2026-01-19,Rare Atom,49,21
2026-01-19,OG,50,19
2026-01-19,Alliance,51,19
2026-01-19,Sashi,52,19
2026-01-19,Voca,53,18
2026-01-19,The Huns,54,18
2026-01-19,AM,55,18
2026-01-19,MOUZ NXT,56,18
2026-01-19,Friendly Campers,57,17
2026-01-19,KOLESIE,58,17
2026-01-19,Tricked,59,17
2026-01-19,Johnny Speeds,60,17
2026-01-19,Nuclear TigeRES,61,17
2026-01-19,RED Canids,62,16
2026-01-19,illwill,63,16
2026-01-19,GenOne,64,15
2026-01-19,Nemesis,65,15
2026-01-19,Wildcard,66,14
2026-01-19,SPARTA,67,13
2026-01-19,magic,68,13
2026-01-19,SINNERS,69,13
2026-01-19,BIG,70,13
2026-01-19,Acend,71,13
2026-01-19,Chinggis Warriors,72,13
2026-01-19,ex-500,73,12
2026-01-19,Gaimin Gladiators,74,12
2026-01-19,Eruption,75,11
2026-01-19,ASTRAL,76,11
2026-01-19,JiJieHao,77,11
2026-01-19,Nemiga,78,10
2026-01-19,BET-M,79,10
2026-01-19,F5,80,10
2026-01-19,DEPO,81,10
2026-01-19,Phantom,82,10
2026-01-19,Galorys,83,10
2026-01-19,Rave,84,10
2026-01-19,Lazer Cats,85,10
2026-01-19,Reign Above,86,10
2026-01-19,AaB,87,10
2026-01-19,FORZE Reload,88,10
2026-01-19,Sangal,89,10
2026-01-19,NOVAQ,90,10
2026-01-19,ex-RUBY,91,10
2026-01-19,Morningstar,92,9
2026-01-19,HEROIC Academy,93,9
2026-01-19,Yawara,94,9
2026-01-19,STATE,95,9
2026-01-19,Metizport,96,9
2026-01-19,1win,97,9
2026-01-19,Nexus,98,9
2026-01-19,Change The Game,99,9
2026-01-19,Betclic,100,9
2026-01-26,Vitality,1,966
2026-01-26,FURIA,2,822
2026-01-26,Falcons,3,680
2026-01-26,MOUZ,4,456
2026-01-26,FaZe,5,374
2026-01-26,PARIVISION,6,358
2026-01-26,Natus Vincere,7,333
2026-01-26,Natus Vincire,7,333
2026-01-26,Spirit,8,323
2026-01-26,The MongolZ,9,311
2026-01-26,G2,10,176
2026-01-26,3DMAX,11,148
2026-01-26,Liquid,12,140
2026-01-26,Aurora,13,132
2026-01-26,Passion UA,14,126
2026-01-26,paiN,15,125
2026-01-26,B8,16,119
2026-01-26,Astralis,17,116
2026-01-26,GamerLegion,18,94
2026-01-26,HEROIC,19,90
2026-01-26,Legacy,20,83
2026-01-26,Imperial,21,74
2026-01-26,FUT,22,72
2026-01-26,M80,23,69
2026-01-26,Ninjas in Pyjamas,24,67
2026-01-26,Gentle Mates,25,66
2026-01-26,Lynn Vision,26,57
2026-01-26,NRG,27,57
2026-01-26,EYEBALLERS,28,54
2026-01-26,Virtus.pro,29,53
2026-01-26,FlyQuest,30,51
2026-01-26,HOTU,31,49
2026-01-26,TYLOO,32,45
2026-01-26,fnatic,33,43
2026-01-26,BetBoom,34,43
2026-01-26,Sharks,35,39
2026-01-26,MIBR,36,36
2026-01-26,Inner Circle,37,36
2026-01-26,Monte,38,35
2026-01-26,9INE,39,28
2026-01-26,BC.Game,40,28
2026-01-26,BESTIA,41,28
2026-01-26,Oramond,42,25
2026-01-26,K27,43,25
2026-01-26,CYBERSHOKE,44,25
2026-01-26,Nuclear TigeRES,45,25
2026-01-26,Fluxo,46,25
2026-01-26,RED Canids,47,24
2026-01-26,ECSTATIC,48,23
2026-01-26,ENCE,49,22
2026-01-26,Alliance,50,22
2026-01-26,Marsborne,51,21
2026-01-26,Rare Atom,52,21
2026-01-26,Nemesis,53,21
2026-01-26,Sashi,54,20
2026-01-26,Johnny Speeds,55,20
2026-01-26,OG,56,20
2026-01-26,Voca,57,19
2026-01-26,MOUZ NXT,58,19
2026-01-26,Gaimin Gladiators,59,19
2026-01-26,AM,60,18
2026-01-26,GenOne,61,18
2026-01-26,Tricked,62,18
2026-01-26,Friendly Campers,63,18
2026-01-26,illwill,64,18
2026-01-26,The Huns,65,18
2026-01-26,KOLESIE,66,18
2026-01-26,9z,67,17
2026-01-26,BIG,68,17
2026-01-26,JiJieHao,69,17
2026-01-26,Wildcard,70,15
2026-01-26,magic,71,14
2026-01-26,SINNERS,72,13
2026-01-26,Morningstar,73,13
2026-01-26,Acend,74,13
2026-01-26,Chinggis Warriors,75,13
2026-01-26,BIG Academy,76,13
2026-01-26,SPARTA,77,13
2026-01-26,Ursa,78,13
2026-01-26,Eruption,79,12
2026-01-26,ex-RUBY,80,12
2026-01-26,ASTRAL,81,12
2026-01-26,G2 Ares,82,12
2026-01-26,ODDIK,83,11
2026-01-26,Lazer Cats,84,11
2026-01-26,Sangal,85,11
2026-01-26,DEPO,86,11
2026-01-26,F5,87,11
2026-01-26,Rave,88,11
2026-01-26,Betclic,89,11
2026-01-26,Reign Above,90,11
2026-01-26,AaB,91,10
2026-01-26,Yawara,92,10
2026-01-26,Metizport,93,10
2026-01-26,Nemiga,94,10
2026-01-26,HEROIC Academy,95,10
2026-01-26,ShindeN,96,10
2026-01-26,STATE,97,10
2026-01-26,Leo,98,10
2026-01-26,Change The Game,99,10
2026-01-26,ARCRED,100,10
2026-02-02,Vitality,1,1000
2026-02-02,FURIA,2,811
2026-02-02,Falcons,3,668
2026-02-02,MOUZ,4,454
2026-02-02,PARIVISION,5,420
2026-02-02,FaZe,6,411
2026-02-02,Spirit,7,379
2026-02-02,Natus Vincire,8,379
2026-02-02,Natus Vincere,8,379
2026-02-02,The MongolZ,9,306
2026-02-02,G2,10,253
2026-02-02,Aurora,11,221
2026-02-02,3DMAX,12,207
2026-02-02,Liquid,13,160
2026-02-02,Astralis,14,157
2026-02-02,FUT,15,154
2026-02-02,Passion UA,16,144
2026-02-02,paiN,17,135
2026-02-02,B8,18,131
2026-02-02,GamerLegion,19,108
2026-02-02,NRG,20,103
2026-02-02,Ninjas in Pyjamas,21,90
2026-02-02,HEROIC,22,88
2026-02-02,Imperial,23,85
2026-02-02,M80,24,84
2026-02-02,Legacy,25,76
2026-02-02,Gentle Mates,26,75
2026-02-02,BC.Game,27,67
2026-02-02,MIBR,28,66
2026-02-02,FlyQuest,29,64
2026-02-02,HOTU,30,57
2026-02-02,TYLOO,31,54
2026-02-02,BetBoom,32,54
2026-02-02,Lynn Vision,33,52
2026-02-02,fnatic,34,50
2026-02-02,EYEBALLERS,35,50
2026-02-02,BESTIA,36,45
2026-02-02,Monte,37,45
2026-02-02,RED Canids,38,44
2026-02-02,Sharks,39,43
2026-02-02,9INE,40,42
2026-02-02,Inner Circle,41,38
2026-02-02,Nuclear TigeRES,42,35
2026-02-02,Virtus.pro,43,33
2026-02-02,Nemesis,44,33
2026-02-02,Oramond,45,32
2026-02-02,K27,46,32
2026-02-02,ODDIK,47,32
2026-02-02,9z,48,29
2026-02-02,illwill,49,29
2026-02-02,CYBERSHOKE,50,28
2026-02-02,SINNERS,51,28
2026-02-02,ECSTATIC,52,27
2026-02-02,Rare Atom,53,27
2026-02-02,Marsborne,54,26
2026-02-02,Voca,55,26
2026-02-02,GenOne,56,25
2026-02-02,Tricked,57,25
2026-02-02,KOLESIE,58,25
2026-02-02,OG,59,24
2026-02-02,The Huns,60,24
2026-02-02,Gaimin Gladiators,61,24
2026-02-02,Alliance,62,24
2026-02-02,Friendly Campers,63,24
2026-02-02,BIG,64,23
2026-02-02,ARCRED,65,23
2026-02-02,ENCE,66,23
2026-02-02,Fluxo,67,22
2026-02-02,Nemiga,68,22
2026-02-02,MOUZ NXT,69,22
2026-02-02,Johnny Speeds,70,22
2026-02-02,ex-RUBY,71,20
2026-02-02,magic,72,20
2026-02-02,Wildcard,73,20
2026-02-02,ShindeN,74,20
2026-02-02,JiJieHao,75,20
2026-02-02,1win,76,18
2026-02-02,Chinggis Warriors,77,18
2026-02-02,Sashi,78,18
2026-02-02,BIG Academy,79,18
2026-02-02,BET-M,80,17
2026-02-02,Eruption,81,17
2026-02-02,Bounty Hunters,82,16
2026-02-02,ASTRAL,83,16
2026-02-02,SPARTA,84,16
2026-02-02,FAVBET,85,16
2026-02-02,Lazer Cats,86,15
2026-02-02,Morningstar,87,15
2026-02-02,G2 Ares,88,15
2026-02-02,Rave,89,15
2026-02-02,Ursa,90,15
2026-02-02,FORZE Reload,91,14
2026-02-02,UNiTY,92,14
2026-02-02,Sangal,93,14
2026-02-02,HEROIC Academy,94,14
2026-02-02,WHITEBIRD,95,14
2026-02-02,RUSTEC,96,13
2026-02-02,F5,97,13
2026-02-02,los kogutos,98,13
2026-02-02,Betclic,99,13
2026-02-02,BOSS,100,13
2026-02-09,Vitality,1,1000
2026-02-09,FURIA,2,757
2026-02-09,Falcons,3,504
2026-02-09,MOUZ,4,481
2026-02-09,Spirit,5,431
2026-02-09,PARIVISION,6,341
2026-02-09,FaZe,7,327
2026-02-09,Natus Vincere,8,297
2026-02-09,Natus Vincire,8,297
2026-02-09,G2,9,264
2026-02-09,The MongolZ,10,247
2026-02-09,Aurora,11,241
2026-02-09,Astralis,12,175
2026-02-09,3DMAX,13,154
2026-02-09,FUT,14,139
2026-02-09,Liquid,15,126
2026-02-09,B8,16,104
2026-02-09,Passion UA,17,103
2026-02-09,paiN,18,95
2026-02-09,NRG,19,92
2026-02-09,GamerLegion,20,88
2026-02-09,Ninjas in Pyjamas,21,76
2026-02-09,HEROIC,22,71
2026-02-09,Imperial,23,66
2026-02-09,M80,24,65
2026-02-09,Legacy,25,62
2026-02-09,BC.Game,26,60
2026-02-09,Gentle Mates,27,52
2026-02-09,MIBR,28,52
2026-02-09,FlyQuest,29,51
2026-02-09,TYLOO,30,46
2026-02-09,Monte,31,46
2026-02-09,BetBoom,32,43
2026-02-09,fnatic,33,40
2026-02-09,EYEBALLERS,34,38
2026-02-09,HOTU,35,36
2026-02-09,Lynn Vision,36,35
2026-02-09,BESTIA,37,35
2026-02-09,RED Canids,38,35
2026-02-09,Sharks,39,34
2026-02-09,K27,40,31
2026-02-09,9INE,41,31
2026-02-09,9z,42,30
2026-02-09,Nuclear TigeRES,43,27
2026-02-09,Inner Circle,44,26
2026-02-09,Nemesis,45,26
2026-02-09,illwill,46,25
2026-02-09,ODDIK,47,25
2026-02-09,magic,48,24
2026-02-09,Voca,49,23
2026-02-09,ECSTATIC,50,23
2026-02-09,Oramond,51,22
2026-02-09,OG,52,22
2026-02-09,Marsborne,53,22
2026-02-09,KOLESIE,54,21
2026-02-09,Nemiga,55,20
2026-02-09,GenOne,56,20
2026-02-09,ex-RUBY,57,20
2026-02-09,CYBERSHOKE,58,20
2026-02-09,Tricked,59,19
2026-02-09,ARCRED,60,19
2026-02-09,Virtus.pro,61,18
2026-02-09,Friendly Campers,62,18
2026-02-09,BIG,63,18
2026-02-09,Gaimin Gladiators,64,18
2026-02-09,SINNERS,65,17
2026-02-09,Fluxo,66,17
2026-02-09,The Huns,67,17
2026-02-09,FAVBET,68,17
2026-02-09,MOUZ NXT,69,17
2026-02-09,ENCE,70,17
2026-02-09,ShindeN,71,16
2026-02-09,Rare Atom,72,16
2026-02-09,Johnny Speeds,73,16
2026-02-09,NEXVOID,74,15
2026-02-09,Wildcard,75,15
2026-02-09,Alliance,76,14
2026-02-09,1win,77,14
2026-02-09,Sashi,78,14
2026-02-09,JiJieHao,79,14
2026-02-09,BET-M,80,14
2026-02-09,BIG Academy,81,14
2026-02-09,Morningstar,82,14
2026-02-09,Chinggis Warriors,83,14
2026-02-09,G2 Ares,84,12
2026-02-09,Ursa,85,11
2026-02-09,WHITEBIRD,86,11
2026-02-09,ASTRAL,87,11
2026-02-09,Bounty Hunters,88,11
2026-02-09,los kogutos,89,11
2026-02-09,FORZE Reload,90,11
2026-02-09,UNiTY,91,11
2026-02-09,Lazer Cats,92,11
2026-02-09,Betclic,93,11
2026-02-09,BOSS,94,11
2026-02-09,Eruption,95,11
2026-02-09,HEROIC Academy,96,11
2026-02-09,Sangal,97,11
2026-02-09,RUSTEC,98,10
2026-02-09,THUNDER dOWNUNDER,99,10
2026-02-09,Fake do Biru,100,10
